#{"t_start": 1656948295.0103543, "env_id": "CustomHopper-source-v0"}
r,l,t
856.441547,252,144.152289
883.625178,278,144.544766
809.128128,243,144.713909
626.121589,203,144.854639
1599.85022,500,145.201463
1016.595269,321,145.425123
728.939383,234,145.588879
861.77737,249,145.762211
675.973793,198,146.100471
1147.144172,357,146.350817
1094.590231,327,146.580098
735.830456,222,146.736697
1359.793457,394,147.012827
843.786954,284,147.212179
882.32101,273,147.403562
757.747778,244,148.057186
569.651356,193,148.194792
320.276813,139,148.294936
1025.129629,324,148.521934
561.135631,198,148.660516
754.946527,238,148.825666
261.481117,114,148.906207
729.857079,239,149.072282
581.090865,196,149.208974
635.005976,214,149.55794
422.894676,161,149.671896
